adapter_id,country,sex,age_bracket,HHH alignment,Sycophancy (mean of 3),ETHICS commonsense,ETHICS deontology,ETHICS justice,ETHICS utilitarianism,ETHICS virtue,Moral stories (acc_norm),"CrowS-Pairs (%stereotype, lower=better)"
553,South Afric,male,35+,0.47058824,0.97466667,0.78,0.636,0.646,0.626,0.898,0.638,0.6
554,South Afric,male,35+,0.47058824,0.978,0.778,0.642,0.648,0.622,0.908,0.64,0.596
555,South Afric,male,35+,0.46606335,0.97533333,0.78,0.64,0.642,0.608,0.906,0.636,0.602
556,South Afric,male,35+,0.46153846,0.95933333,0.794,0.634,0.644,0.672,0.904,0.646,0.598
557,South Afric,male,35+,0.46606335,0.95666667,0.806,0.634,0.626,0.612,0.904,0.642,0.6
558,South Afric,male,35+,0.46606335,0.96133333,0.776,0.648,0.662,0.62,0.91,0.638,0.6
559,South Afric,male,35+,0.46153846,0.98266667,0.786,0.634,0.646,0.674,0.896,0.644,0.6
560,South Afric,male,35+,0.46606335,0.96733333,0.808,0.632,0.63,0.62,0.898,0.648,0.598
561,South Afric,male,35+,0.46606335,0.97666667,0.776,0.652,0.664,0.612,0.908,0.634,0.602
562,South Afric,male,35+,0.46606335,0.97933333,0.774,0.648,0.65,0.656,0.902,0.638,0.596
563,South Afric,male,35+,0.46606335,0.97133333,0.788,0.634,0.64,0.644,0.892,0.642,0.602
564,South Afric,male,35+,0.46606335,0.96866667,0.776,0.656,0.672,0.616,0.91,0.64,0.59
565,South Afric,male,35+,0.47058824,0.97933333,0.77,0.636,0.642,0.644,0.89,0.64,0.594
566,South Afric,male,35+,0.47058824,0.98266667,0.794,0.642,0.642,0.684,0.894,0.636,0.604
567,South Afric,male,35+,0.46606335,0.97266667,0.816,0.612,0.628,0.618,0.902,0.642,0.598
568,South Afric,male,35+,0.46606335,0.97,0.776,0.654,0.67,0.606,0.912,0.638,0.594
569,South Afric,male,35+,0.47058824,0.964,0.778,0.634,0.642,0.622,0.89,0.642,0.598
570,South Afric,male,35+,0.46606335,0.95666667,0.78,0.632,0.648,0.628,0.904,0.642,0.6
571,South Afric,male,35+,0.46606335,0.966,0.774,0.636,0.646,0.616,0.896,0.64,0.594
572,South Afric,male,35+,0.47058824,0.97333333,0.776,0.646,0.646,0.642,0.9,0.642,0.602
573,South Afric,male,35+,0.46606335,0.958,0.772,0.65,0.68,0.612,0.91,0.636,0.598
574,South Afric,male,35+,0.47058824,0.966,0.774,0.644,0.656,0.666,0.896,0.64,0.592
575,South Afric,female,35+,0.46153846,0.95133333,0.774,0.62,0.642,0.672,0.894,0.644,0.602
576,South Afric,female,35+,0.46606335,0.96733333,0.804,0.632,0.632,0.632,0.896,0.646,0.602
577,South Afric,female,35+,0.46153846,0.95266667,0.784,0.626,0.636,0.648,0.888,0.642,0.604
578,South Afric,female,35+,0.46153846,0.95466667,0.802,0.624,0.626,0.616,0.9,0.64,0.586
579,South Afric,female,35+,0.47058824,0.972,0.798,0.636,0.638,0.618,0.912,0.634,0.598
580,South Afric,female,35+,0.46606335,0.98,0.778,0.646,0.646,0.634,0.9,0.638,0.598
581,South Afric,female,35+,0.46606335,0.98466667,0.8,0.634,0.628,0.612,0.9,0.644,0.6
582,South Afric,female,35+,0.46153846,0.966,0.79,0.626,0.638,0.672,0.894,0.646,0.588
583,South Afric,female,35+,0.46606335,0.972,0.782,0.654,0.666,0.618,0.912,0.638,0.596
584,South Afric,female,35+,0.46606335,0.95733333,0.782,0.63,0.64,0.654,0.886,0.642,0.6
585,South Afric,female,35+,0.46606335,0.97066667,0.776,0.65,0.656,0.606,0.912,0.636,0.594
586,South Afric,female,35+,0.46153846,0.986,0.776,0.64,0.646,0.676,0.888,0.64,0.596
587,South Afric,female,35+,0.46606335,0.982,0.772,0.634,0.644,0.636,0.9,0.638,0.59
588,South Afric,female,35+,0.46153846,0.95733333,0.786,0.626,0.638,0.63,0.906,0.644,0.6
589,South Afric,female,35+,0.46153846,0.96333333,0.782,0.634,0.644,0.64,0.9,0.64,0.594
590,South Afric,female,35+,0.46153846,0.958,0.804,0.628,0.638,0.642,0.898,0.642,0.6
591,South Afric,female,35+,0.46153846,0.956,0.808,0.618,0.622,0.612,0.9,0.648,0.602
592,South Afric,female,35+,0.46606335,0.952,0.774,0.628,0.642,0.61,0.886,0.64,0.596
593,South Afric,female,35+,0.46606335,0.98533333,0.786,0.636,0.646,0.65,0.896,0.642,0.606
594,South Afric,female,35+,0.46606335,0.97266667,0.78,0.644,0.666,0.606,0.91,0.632,0.598
595,South Afric,female,35+,0.46606335,0.96733333,0.794,0.618,0.64,0.646,0.89,0.642,0.598
596,South Afric,female,35+,0.46606335,0.96266667,0.798,0.64,0.642,0.616,0.908,0.644,0.598
597,South Afric,female,35+,0.46606335,0.97066667,0.79,0.636,0.642,0.66,0.904,0.644,0.598
598,South Afric,female,35+,0.46153846,0.97933333,0.778,0.634,0.646,0.612,0.898,0.64,0.596
599,South Afric,female,35+,0.46153846,0.98133333,0.796,0.624,0.634,0.602,0.898,0.642,0.598
600,Germany,male,18-24,0.46606335,0.982,0.77,0.65,0.658,0.64,0.898,0.638,0.592
601,Germany,male,18-24,0.46606335,0.96333333,0.778,0.65,0.656,0.614,0.908,0.636,0.594
602,Germany,male,18-24,0.46606335,0.97266667,0.782,0.648,0.67,0.614,0.91,0.638,0.596
603,Germany,male,18-24,0.47058824,0.91733333,0.754,0.64,0.688,0.628,0.906,0.634,0.596
604,Germany,male,18-24,0.46153846,0.96933333,0.776,0.644,0.662,0.664,0.898,0.64,0.6
605,Germany,male,18-24,0.46153846,0.98066667,0.77,0.632,0.662,0.666,0.888,0.636,0.588
606,Germany,male,18-24,0.46606335,0.968,0.782,0.648,0.652,0.616,0.91,0.638,0.588
607,Germany,male,18-24,0.46153846,0.94933333,0.776,0.644,0.652,0.66,0.902,0.642,0.598
608,Germany,male,18-24,0.46606335,0.90266667,0.756,0.65,0.694,0.632,0.906,0.634,0.598
609,Germany,male,18-24,0.46606335,0.95933333,0.774,0.644,0.682,0.608,0.91,0.634,0.596
610,Germany,male,18-24,0.46606335,0.97,0.766,0.658,0.694,0.6,0.908,0.634,0.596
611,Germany,male,18-24,0.46606335,0.95466667,0.782,0.64,0.656,0.614,0.91,0.64,0.6
612,Germany,male,18-24,0.46606335,0.94733333,0.772,0.652,0.69,0.608,0.916,0.636,0.586
613,Germany,male,18-24,0.47058824,0.97266667,0.804,0.632,0.642,0.614,0.888,0.64,0.6
614,Germany,male,18-24,0.46606335,0.96866667,0.76,0.632,0.648,0.666,0.888,0.64,0.598
615,Germany,male,18-24,0.46606335,0.97866667,0.788,0.632,0.634,0.606,0.896,0.64,0.598
616,Germany,male,18-24,0.46153846,0.96533333,0.79,0.64,0.642,0.618,0.908,0.644,0.606
617,Germany,male,18-24,0.46153846,0.956,0.794,0.636,0.642,0.634,0.908,0.642,0.59
618,Germany,male,18-24,0.46606335,0.972,0.778,0.65,0.66,0.612,0.91,0.64,0.596
619,Germany,male,18-24,0.46153846,0.97333333,0.782,0.646,0.66,0.602,0.908,0.636,0.602
620,Germany,male,18-24,0.46606335,0.97133333,0.78,0.644,0.65,0.602,0.912,0.636,0.6
621,Germany,male,18-24,0.46606335,0.978,0.782,0.64,0.646,0.668,0.89,0.642,0.588
622,Germany,male,18-24,0.46606335,0.98133333,0.788,0.646,0.646,0.634,0.9,0.638,0.596
623,Germany,male,18-24,0.46606335,0.97266667,0.778,0.65,0.674,0.61,0.912,0.636,0.598
624,Germany,male,18-24,0.47058824,0.97466667,0.782,0.642,0.65,0.61,0.91,0.636,0.588
625,Germany,female,18-24,0.47058824,0.98133333,0.806,0.636,0.646,0.64,0.902,0.646,0.602
626,Germany,female,18-24,0.46606335,0.98133333,0.798,0.622,0.636,0.608,0.9,0.64,0.596
627,Germany,female,18-24,0.46606335,0.97533333,0.802,0.634,0.632,0.61,0.906,0.64,0.602
628,Germany,female,18-24,0.46606335,0.984,0.784,0.632,0.638,0.626,0.89,0.646,0.604
629,Germany,female,18-24,0.46606335,0.97733333,0.772,0.642,0.648,0.608,0.894,0.638,0.598
630,Germany,female,18-24,0.46606335,0.97,0.782,0.64,0.642,0.664,0.896,0.642,0.592
631,Germany,female,18-24,0.46606335,0.97133333,0.79,0.638,0.644,0.61,0.906,0.636,0.596
632,Germany,female,18-24,0.46606335,0.98333333,0.774,0.648,0.65,0.648,0.894,0.642,0.596
633,Germany,female,18-24,0.46153846,0.97333333,0.808,0.626,0.638,0.636,0.906,0.64,0.6
634,Germany,female,18-24,0.46153846,0.972,0.782,0.644,0.65,0.62,0.908,0.638,0.598
635,Germany,female,18-24,0.46606335,0.97333333,0.778,0.646,0.658,0.626,0.904,0.636,0.602
636,Germany,female,18-24,0.46153846,0.976,0.782,0.634,0.644,0.628,0.9,0.644,0.594
637,Germany,female,18-24,0.46606335,0.976,0.816,0.624,0.634,0.612,0.908,0.64,0.596
638,Germany,female,18-24,0.46606335,0.97933333,0.778,0.636,0.644,0.646,0.888,0.644,0.596
639,Germany,female,18-24,0.46606335,0.954,0.79,0.642,0.648,0.61,0.904,0.642,0.586
640,Germany,female,18-24,0.46153846,0.96066667,0.776,0.638,0.638,0.652,0.888,0.638,0.592
641,Germany,female,18-24,0.46606335,0.986,0.782,0.636,0.646,0.626,0.89,0.644,0.6
642,Germany,female,18-24,0.46153846,0.98466667,0.782,0.634,0.642,0.656,0.89,0.642,0.59
643,Germany,female,18-24,0.46606335,0.97333333,0.81,0.632,0.638,0.636,0.902,0.646,0.602
644,Germany,female,18-24,0.46606335,0.96066667,0.778,0.638,0.642,0.6,0.88,0.64,0.598
645,Germany,female,18-24,0.46606335,0.97333333,0.776,0.646,0.668,0.612,0.91,0.634,0.6
646,Germany,female,18-24,0.46606335,0.974,0.776,0.648,0.666,0.624,0.91,0.638,0.596
647,Germany,female,18-24,0.46606335,0.96533333,0.812,0.622,0.626,0.604,0.904,0.642,0.598
648,Germany,female,18-24,0.46606335,0.91666667,0.77,0.658,0.692,0.624,0.912,0.636,0.584
649,Germany,female,18-24,0.46606335,0.97666667,0.774,0.644,0.672,0.612,0.908,0.632,0.6
650,Germany,male,25-34,0.46606335,0.96133333,0.772,0.65,0.688,0.616,0.916,0.636,0.59
651,Germany,male,25-34,0.46606335,0.96866667,0.782,0.642,0.646,0.628,0.902,0.642,0.6
652,Germany,male,25-34,0.46606335,0.97933333,0.78,0.646,0.648,0.61,0.91,0.638,0.612
653,Germany,male,25-34,0.46606335,0.974,0.786,0.642,0.644,0.626,0.91,0.636,0.596
654,Germany,male,25-34,0.46153846,0.95666667,0.788,0.642,0.646,0.652,0.908,0.646,0.592
655,Germany,male,25-34,0.46153846,0.95733333,0.774,0.648,0.69,0.602,0.91,0.638,0.602
656,Germany,male,25-34,0.46153846,0.974,0.806,0.626,0.624,0.6,0.902,0.64,0.6
657,Germany,male,25-34,0.46606335,0.98133333,0.788,0.632,0.638,0.62,0.9,0.64,0.596
658,Germany,male,25-34,0.46606335,0.96133333,0.784,0.646,0.658,0.616,0.908,0.638,0.594
659,Germany,male,25-34,0.46606335,0.96666667,0.776,0.642,0.66,0.65,0.902,0.642,0.594
660,Germany,male,25-34,0.46606335,0.96266667,0.78,0.654,0.666,0.63,0.91,0.642,0.596
661,Germany,male,25-34,0.46606335,0.96066667,0.784,0.636,0.644,0.656,0.896,0.64,0.596
662,Germany,male,25-34,0.46606335,0.95333333,0.786,0.64,0.646,0.618,0.908,0.64,0.594
663,Germany,male,25-34,0.47058824,0.972,0.778,0.65,0.666,0.608,0.91,0.634,0.596
664,Germany,male,25-34,0.47058824,0.97333333,0.776,0.65,0.666,0.63,0.908,0.636,0.592
665,Germany,male,25-34,0.46153846,0.956,0.774,0.658,0.668,0.63,0.908,0.636,0.588
666,Germany,male,25-34,0.46606335,0.92,0.76,0.652,0.686,0.624,0.902,0.636,0.594
667,Germany,male,25-34,0.46606335,0.96666667,0.776,0.644,0.674,0.614,0.91,0.636,0.596
668,Germany,male,25-34,0.46606335,0.97,0.776,0.646,0.668,0.606,0.91,0.636,0.602
669,Germany,male,25-34,0.46606335,0.97,0.778,0.648,0.666,0.602,0.912,0.636,0.592
670,Germany,male,25-34,0.46606335,0.97266667,0.78,0.646,0.668,0.6,0.91,0.634,0.598
671,Germany,male,25-34,0.47058824,0.968,0.776,0.652,0.66,0.616,0.91,0.636,0.594
672,Germany,male,25-34,0.47058824,0.96266667,0.768,0.648,0.69,0.626,0.912,0.634,0.592
673,Germany,male,25-34,0.46606335,0.96533333,0.772,0.65,0.658,0.62,0.9,0.638,0.594
674,Germany,male,25-34,0.46153846,0.96466667,0.786,0.632,0.642,0.644,0.902,0.644,0.59
675,Germany,female,25-34,0.46606335,0.96933333,0.79,0.632,0.642,0.652,0.896,0.642,0.604
676,Germany,female,25-34,0.47058824,0.97333333,0.802,0.626,0.634,0.61,0.906,0.638,0.61
677,Germany,female,25-34,0.47058824,0.98466667,0.786,0.614,0.632,0.62,0.89,0.64,0.606
678,Germany,female,25-34,0.46606335,0.96266667,0.776,0.648,0.662,0.634,0.9,0.638,0.594
679,Germany,female,25-34,0.46153846,0.96,0.786,0.636,0.642,0.662,0.898,0.64,0.596
680,Germany,female,25-34,0.46153846,0.95866667,0.8,0.622,0.63,0.6,0.894,0.644,0.594
681,Germany,female,25-34,0.46606335,0.96533333,0.786,0.636,0.644,0.656,0.902,0.644,0.592
682,Germany,female,25-34,0.46606335,0.97133333,0.774,0.648,0.674,0.602,0.902,0.634,0.584
683,Germany,female,25-34,0.46606335,0.958,0.8,0.62,0.638,0.62,0.89,0.646,0.602
684,Germany,female,25-34,0.46153846,0.946,0.792,0.622,0.638,0.636,0.904,0.642,0.594
685,Germany,female,25-34,0.47058824,0.96533333,0.778,0.642,0.672,0.608,0.91,0.634,0.598
686,Germany,female,25-34,0.46153846,0.914,0.772,0.652,0.694,0.62,0.912,0.64,0.588
687,Germany,female,25-34,0.46606335,0.978,0.78,0.64,0.648,0.618,0.902,0.64,0.6
688,Germany,female,25-34,0.46606335,0.974,0.778,0.638,0.65,0.624,0.906,0.636,0.596
689,Germany,female,25-34,0.46606335,0.95733333,0.776,0.63,0.642,0.64,0.892,0.638,0.594
690,Germany,female,25-34,0.47058824,0.98333333,0.768,0.644,0.654,0.678,0.88,0.634,0.594
691,Germany,female,25-34,0.46606335,0.972,0.778,0.652,0.664,0.61,0.912,0.634,0.594
692,Germany,female,25-34,0.47058824,0.976,0.792,0.642,0.642,0.622,0.908,0.636,0.602
693,Germany,female,25-34,0.46606335,0.984,0.798,0.63,0.642,0.644,0.896,0.638,0.6
694,Germany,female,25-34,0.46606335,0.966,0.78,0.642,0.644,0.658,0.908,0.64,0.596
695,Germany,female,25-34,0.46606335,0.95533333,0.784,0.628,0.636,0.66,0.894,0.642,0.596
696,Germany,female,25-34,0.46606335,0.98466667,0.776,0.632,0.634,0.622,0.886,0.638,0.59
697,Germany,female,25-34,0.47058824,0.97133333,0.784,0.636,0.648,0.638,0.898,0.64,0.596
698,Germany,female,25-34,0.46606335,0.972,0.778,0.656,0.654,0.61,0.91,0.634,0.596
699,Germany,female,25-34,0.46606335,0.98066667,0.784,0.634,0.634,0.6,0.892,0.638,0.606
700,Germany,male,35+,0.46153846,0.966,0.78,0.636,0.646,0.624,0.898,0.642,0.584
701,Germany,male,35+,0.46606335,0.97133333,0.776,0.648,0.654,0.61,0.912,0.634,0.596
702,Germany,male,35+,0.46606335,0.97533333,0.792,0.632,0.636,0.596,0.898,0.642,0.58
703,Germany,male,35+,0.46606335,0.96066667,0.768,0.638,0.65,0.66,0.89,0.64,0.598
704,Germany,male,35+,0.46606335,0.98266667,0.78,0.632,0.638,0.66,0.884,0.638,0.594
705,Germany,male,35+,0.46606335,0.95866667,0.788,0.634,0.638,0.63,0.892,0.642,0.594
706,Germany,male,35+,0.46606335,0.974,0.784,0.634,0.638,0.616,0.906,0.64,0.566
707,Germany,male,35+,0.46606335,0.96733333,0.762,0.654,0.7,0.628,0.906,0.634,0.592
708,Germany,male,35+,0.47058824,0.958,0.776,0.65,0.662,0.63,0.904,0.638,0.592
709,Germany,male,35+,0.46606335,0.974,0.778,0.648,0.656,0.612,0.91,0.634,0.598
710,Germany,male,35+,0.46606335,0.976,0.772,0.65,0.664,0.624,0.9,0.638,0.598
711,Germany,male,35+,0.46153846,0.95133333,0.78,0.648,0.66,0.648,0.904,0.644,0.594
712,Germany,male,35+,0.46153846,0.97,0.778,0.64,0.646,0.618,0.908,0.64,0.594
713,Germany,male,35+,0.46153846,0.948,0.782,0.646,0.654,0.66,0.908,0.636,0.59
714,Germany,male,35+,0.46606335,0.97133333,0.784,0.642,0.658,0.61,0.908,0.638,0.598
715,Germany,male,35+,0.46153846,0.938,0.782,0.638,0.646,0.688,0.91,0.64,0.596
716,Germany,male,35+,0.47058824,0.97066667,0.79,0.642,0.644,0.624,0.886,0.642,0.598
717,Germany,male,35+,0.46606335,0.974,0.794,0.642,0.644,0.616,0.906,0.644,0.606
718,Germany,male,35+,0.46606335,0.96266667,0.774,0.638,0.656,0.626,0.898,0.636,0.598
719,Germany,male,35+,0.47058824,0.972,0.782,0.642,0.654,0.622,0.91,0.64,0.592
720,Germany,male,35+,0.47058824,0.96733333,0.776,0.642,0.644,0.634,0.898,0.638,0.592
721,Germany,male,35+,0.46606335,0.96466667,0.78,0.65,0.674,0.608,0.91,0.636,0.596
722,Germany,male,35+,0.46153846,0.97066667,0.786,0.632,0.644,0.63,0.908,0.646,0.588
723,Germany,male,35+,0.46153846,0.95133333,0.788,0.632,0.642,0.654,0.904,0.644,0.592
724,Germany,male,35+,0.46606335,0.95533333,0.772,0.65,0.682,0.612,0.91,0.636,0.596
725,Germany,female,35+,0.47058824,0.97066667,0.778,0.65,0.664,0.614,0.908,0.634,0.604
726,Germany,female,35+,0.46153846,0.96733333,0.792,0.64,0.64,0.628,0.906,0.648,0.592
727,Germany,female,35+,0.47058824,0.96333333,0.816,0.616,0.624,0.596,0.898,0.644,0.596
728,Germany,female,35+,0.46606335,0.97466667,0.776,0.652,0.664,0.612,0.91,0.634,0.596
729,Germany,female,35+,0.47058824,0.96066667,0.78,0.646,0.666,0.614,0.91,0.638,0.6
730,Germany,female,35+,0.46606335,0.97866667,0.78,0.638,0.64,0.61,0.906,0.638,0.602
731,Germany,female,35+,0.46606335,0.974,0.802,0.62,0.624,0.614,0.902,0.642,0.596
732,Germany,female,35+,0.46153846,0.96133333,0.792,0.63,0.636,0.622,0.894,0.646,0.596
733,Germany,female,35+,0.46606335,0.97066667,0.778,0.642,0.658,0.632,0.906,0.642,0.608
734,Germany,female,35+,0.46606335,0.956,0.786,0.626,0.634,0.656,0.894,0.642,0.596
735,Germany,female,35+,0.47058824,0.97733333,0.758,0.648,0.654,0.654,0.876,0.64,0.59
736,Germany,female,35+,0.46153846,0.972,0.792,0.634,0.644,0.622,0.91,0.64,0.604
737,Germany,female,35+,0.46606335,0.95666667,0.772,0.642,0.652,0.622,0.902,0.638,0.588
738,Germany,female,35+,0.46153846,0.94866667,0.786,0.63,0.632,0.646,0.904,0.644,0.604
739,Germany,female,35+,0.46606335,0.96933333,0.806,0.622,0.64,0.644,0.898,0.642,0.594
740,Germany,female,35+,0.46606335,0.97866667,0.782,0.648,0.654,0.618,0.906,0.638,0.602
741,Germany,female,35+,0.46606335,0.976,0.81,0.628,0.632,0.608,0.904,0.636,0.608
742,Germany,female,35+,0.47058824,0.95333333,0.784,0.626,0.638,0.64,0.898,0.648,0.606
743,Germany,female,35+,0.46153846,0.96933333,0.782,0.628,0.634,0.662,0.904,0.642,0.592
744,Germany,female,35+,0.46606335,0.97,0.81,0.616,0.622,0.61,0.898,0.642,0.598
745,Germany,female,35+,0.46606335,0.978,0.784,0.64,0.64,0.604,0.9,0.642,0.6
746,Germany,female,35+,0.46606335,0.954,0.788,0.628,0.64,0.626,0.906,0.642,0.588
747,Germany,female,35+,0.46606335,0.96066667,0.778,0.634,0.64,0.608,0.906,0.642,0.594
748,Germany,female,35+,0.46606335,0.968,0.774,0.63,0.66,0.678,0.894,0.638,0.592
749,Germany,female,35+,0.46606335,0.966,0.784,0.646,0.674,0.614,0.91,0.638,0.592
750,Australia,male,18-24,0.46606335,0.97466667,0.788,0.646,0.644,0.612,0.912,0.634,0.594
751,Australia,male,18-24,0.47058824,0.95666667,0.774,0.658,0.682,0.608,0.912,0.636,0.594
752,Australia,male,18-24,0.46606335,0.952,0.774,0.644,0.688,0.61,0.916,0.632,0.596
753,Australia,male,18-24,0.46606335,0.97133333,0.776,0.656,0.672,0.624,0.91,0.636,0.594
754,Australia,male,18-24,0.46606335,0.97133333,0.776,0.642,0.67,0.608,0.91,0.634,0.6
755,Australia,male,18-24,0.46153846,0.97533333,0.778,0.64,0.656,0.646,0.9,0.64,0.596
756,Australia,male,18-24,0.46606335,0.95933333,0.8,0.628,0.64,0.618,0.902,0.644,0.594
757,Australia,male,18-24,0.46606335,0.968,0.776,0.646,0.672,0.616,0.91,0.634,0.594
758,Australia,male,18-24,0.47058824,0.97466667,0.774,0.64,0.65,0.608,0.906,0.638,0.596
759,Australia,male,18-24,0.46606335,0.976,0.794,0.634,0.64,0.61,0.91,0.638,0.596
760,Australia,male,18-24,0.46153846,0.96466667,0.792,0.632,0.646,0.632,0.908,0.64,0.608
761,Australia,male,18-24,0.46153846,0.95933333,0.788,0.64,0.648,0.666,0.91,0.648,0.594
762,Australia,male,18-24,0.46606335,0.94866667,0.806,0.622,0.636,0.68,0.88,0.634,0.598
763,Australia,male,18-24,0.46606335,0.97466667,0.804,0.622,0.63,0.594,0.908,0.636,0.566
764,Australia,male,18-24,0.46606335,0.97533333,0.784,0.634,0.65,0.622,0.898,0.642,0.598
765,Australia,male,18-24,0.46606335,0.968,0.81,0.632,0.636,0.614,0.902,0.644,0.604
766,Australia,male,18-24,0.46606335,0.948,0.768,0.634,0.65,0.67,0.898,0.642,0.612
767,Australia,male,18-24,0.47058824,0.96133333,0.794,0.65,0.656,0.618,0.91,0.638,0.592
768,Australia,male,18-24,0.46606335,0.97,0.776,0.646,0.67,0.606,0.91,0.638,0.596
769,Australia,male,18-24,0.46606335,0.95866667,0.776,0.638,0.648,0.618,0.9,0.638,0.586
770,Australia,male,18-24,0.46153846,0.96,0.784,0.64,0.646,0.678,0.9,0.646,0.594
771,Australia,male,18-24,0.46153846,0.97333333,0.778,0.638,0.638,0.634,0.902,0.642,0.598
772,Australia,male,18-24,0.46606335,0.966,0.77,0.646,0.69,0.628,0.912,0.636,0.596
773,Australia,male,18-24,0.46606335,0.96533333,0.8,0.636,0.644,0.62,0.91,0.644,0.596
774,Australia,male,18-24,0.46153846,0.95,0.792,0.63,0.64,0.65,0.9,0.646,0.588
775,Australia,female,18-24,0.46153846,0.96933333,0.798,0.63,0.638,0.68,0.896,0.646,0.602
776,Australia,female,18-24,0.46606335,0.97666667,0.798,0.638,0.638,0.626,0.91,0.64,0.592
777,Australia,female,18-24,0.47058824,0.958,0.792,0.63,0.64,0.634,0.894,0.648,0.598
778,Australia,female,18-24,0.46606335,0.95933333,0.772,0.642,0.65,0.66,0.892,0.638,0.596
779,Australia,female,18-24,0.46606335,0.97933333,0.8,0.624,0.64,0.672,0.9,0.644,0.602
780,Australia,female,18-24,0.46606335,0.95066667,0.792,0.634,0.638,0.652,0.904,0.642,0.598
781,Australia,female,18-24,0.46606335,0.976,0.798,0.638,0.64,0.642,0.9,0.642,0.604
782,Australia,female,18-24,0.46606335,0.97266667,0.77,0.644,0.678,0.598,0.908,0.634,0.602
783,Australia,female,18-24,0.46606335,0.974,0.778,0.654,0.658,0.61,0.91,0.634,0.6
784,Australia,female,18-24,0.46606335,0.972,0.782,0.64,0.636,0.602,0.91,0.634,0.604
785,Australia,female,18-24,0.46153846,0.97666667,0.776,0.65,0.662,0.626,0.902,0.636,0.598
786,Australia,female,18-24,0.46606335,0.97066667,0.778,0.652,0.662,0.62,0.908,0.634,0.596
787,Australia,female,18-24,0.46606335,0.97266667,0.778,0.652,0.662,0.612,0.91,0.638,0.592
788,Australia,female,18-24,0.46606335,0.984,0.756,0.644,0.658,0.638,0.896,0.636,0.6
789,Australia,female,18-24,0.46606335,0.97533333,0.782,0.646,0.656,0.614,0.908,0.634,0.6
790,Australia,female,18-24,0.46606335,0.97466667,0.8,0.636,0.638,0.612,0.91,0.64,0.598
791,Australia,female,18-24,0.46606335,0.97333333,0.778,0.642,0.644,0.6,0.91,0.634,0.612
792,Australia,female,18-24,0.46153846,0.98066667,0.794,0.636,0.636,0.608,0.894,0.64,0.602
793,Australia,female,18-24,0.46153846,0.97533333,0.774,0.632,0.646,0.636,0.888,0.64,0.596
794,Australia,female,18-24,0.46153846,0.97133333,0.778,0.644,0.668,0.608,0.912,0.634,0.596
795,Australia,female,18-24,0.46606335,0.97,0.776,0.654,0.668,0.606,0.912,0.636,0.594
796,Australia,female,18-24,0.46606335,0.97533333,0.784,0.64,0.66,0.61,0.904,0.632,0.61
797,Australia,female,18-24,0.46606335,0.97133333,0.774,0.642,0.646,0.61,0.906,0.638,0.592
798,Australia,female,18-24,0.47058824,0.96533333,0.776,0.652,0.664,0.618,0.906,0.638,0.598
799,Australia,female,18-24,0.46606335,0.974,0.774,0.654,0.664,0.624,0.904,0.636,0.594
800,Australia,male,25-34,0.46606335,0.96533333,0.808,0.63,0.632,0.612,0.9,0.638,0.596
801,Australia,male,25-34,0.46606335,0.97066667,0.79,0.634,0.64,0.612,0.91,0.638,0.606
802,Australia,male,25-34,0.47058824,0.97666667,0.78,0.654,0.648,0.642,0.896,0.636,0.588
803,Australia,male,25-34,0.46606335,0.95666667,0.762,0.648,0.696,0.606,0.91,0.632,0.598
804,Australia,male,25-34,0.46153846,0.97,0.77,0.64,0.684,0.602,0.91,0.634,0.596
805,Australia,male,25-34,0.46606335,0.97666667,0.784,0.64,0.656,0.61,0.908,0.636,0.6
806,Australia,male,25-34,0.46153846,0.96866667,0.79,0.636,0.642,0.656,0.892,0.642,0.604
807,Australia,male,25-34,0.46153846,0.95733333,0.764,0.646,0.652,0.644,0.904,0.64,0.592
808,Australia,male,25-34,0.46606335,0.98066667,0.794,0.638,0.644,0.664,0.896,0.64,0.602
809,Australia,male,25-34,0.46606335,0.982,0.77,0.636,0.648,0.632,0.892,0.644,0.596
810,Australia,male,25-34,0.46153846,0.97533333,0.78,0.636,0.642,0.648,0.9,0.642,0.598
811,Australia,male,25-34,0.46606335,0.92666667,0.77,0.644,0.69,0.626,0.908,0.64,0.592
812,Australia,male,25-34,0.47058824,0.95466667,0.776,0.656,0.674,0.61,0.908,0.634,0.59
813,Australia,male,25-34,0.46606335,0.97333333,0.794,0.636,0.64,0.61,0.902,0.64,0.604
814,Australia,male,25-34,0.46606335,0.98333333,0.782,0.65,0.646,0.626,0.9,0.64,0.596
815,Australia,male,25-34,0.46606335,0.96133333,0.782,0.646,0.662,0.626,0.906,0.636,0.6
816,Australia,male,25-34,0.46606335,0.96533333,0.806,0.632,0.636,0.664,0.906,0.644,0.6
817,Australia,male,25-34,0.46153846,0.95333333,0.778,0.654,0.668,0.616,0.91,0.64,0.594
818,Australia,male,25-34,0.46606335,0.964,0.79,0.636,0.642,0.626,0.896,0.642,0.606
819,Australia,male,25-34,0.46153846,0.97066667,0.794,0.626,0.636,0.626,0.904,0.644,0.6
820,Australia,male,25-34,0.47058824,0.974,0.778,0.64,0.642,0.598,0.908,0.636,0.598
821,Australia,male,25-34,0.46153846,0.97,0.782,0.644,0.656,0.646,0.91,0.64,0.594
822,Australia,male,25-34,0.46606335,0.94933333,0.776,0.644,0.652,0.63,0.904,0.64,0.586
823,Australia,male,25-34,0.46606335,0.95533333,0.794,0.646,0.658,0.628,0.908,0.636,0.594
